doctorId,firstName,lastName,gender,age,mobNumber,address,type,appointmentsBooked
1,amit,Doe,M,43,,delhi,Cardiologist,0
2,aadya,Cullen,F,28,9.17646E+11,mumbai,Physician,0
3,Rhea,Jain,F,29,9.1893E+11,delhi,Cardiologist,0
4,Dhananjay,Dey,M,44,9.19249E+11,mumbai,Psychatrist,0
5,jai,chodhary,M,38,9.12849E+11,delhi,Neurologist,0
7,Mark,Andrew,M,32,9.12394E+11,mumbai,Psychatrist,0
8,mellisa,Andrew,F,44,9.19204E+11,delhi,Cardiologist,0
9,isha,sharma,F,29,9.1349E+11,mumbai,Psychatrist,0
10,shri,mandal,M,45,9.18908E+11,delhi,Psychatrist,0
11,Freddie,Johnson,M,29,9.12233E+11,mumbai,Neurologist,0
12,roshini,pathak,F,29,9.19087E+11,delhi,Physician,0
13,kishan,aarun,M,30,9.19988E+11,mumbai,Physician,0
14,Monica,Jain,F,32,9.2E+11,delhi,ENT,1
15,Ryan,Mallick,M,34,9.2E+11,mumbai,ENT,0
16,pinaki,Stephens,M,39,9.12348E+11,delhi,Neurologist,0
17,jay,mann,M,30,9.12648E+11,mumbai,Dermatologist,0
18,Vishal,Mallick,M,44,9.11279E+11,delhi,Dentist,0
19,Vishal,Mallick,M,49,9.18038E+11,mumbai,Dermatologist,0
20,Kiara,Jain,F,39,9.12389E+11,delhi,Dermatologist,0
22,Akshat,Kumar,M,29,9.19848E+11,mumbai,Surgeon,0
23,Akshay,Agrawal,M,32,9.12984E+11,delhi,ENT,0
24,William,Chadwick,M,39,9.10938E+11,mumbai,Surgeon,2
25,Rishabh,Jain,M,30,9.13409E+11,delhi,Surgeon,0
26,Navya,Gupta,M,19,9.1349E+11,mumbai,Dentist,0
28,vikram,ojha,M,56,9.19989E+11,delhi,Dentist,0
29,Ananya,Srivastav,M,34,9.12939E+11,mumbai,Dermatologist,0
